bin	bins_n	phylum
'LIB-MJ390-B4_03.6'	1	Actinomycetota
'LIB-MJ173-C9_01.13'	1	Actinomycetota
'LIB-MJ334-C5_01.10'	22	Actinomycetota
'LIB-MJ305-E8_04.61'	1	Actinomycetota
'LIB-MJ134-A5_03.38'	1	Actinomycetota
'LIB-MJ284-B4_03.25'	1	Actinomycetota
'LIB-MJ305-E6_04.8'	1	Actinomycetota
'LIB-MJ092-C2_01.8'	1	Actinomycetota
'LIB-MJ387-B2_01.4'	2	Campylobacterota
'LIB-MJ139-E5_01.52'	1	Actinomycetota
'LIB-MJ352-A8_03.4'	1	Actinomycetota
'LIB-MJ390-D5_03.9'	1	Actinomycetota
'LIB-MJ217-D3_03.12'	1	Actinomycetota
'LIB-MJ354-A2_04_v_LIB-MJ367-A2_04.3'	1	Actinomycetota
'LIB-MJ199-A7_04.10'	1	Actinomycetota
'LIB-MJ382-A3_02.3'	1	Actinomycetota
'LIB-MJ339-H6_03.6'	1	Actinomycetota
'LIB-MJ195-E7_01.17'	1	Actinomycetota
'LIB-MJ255-D11_02.9'	1	Actinomycetota
'LIB-MJ389-C5_03.1'	1	Campylobacterota
'LIB-MJ338-H4_04.12'	1	Actinomycetota
'LIB-MJ259-C9_04.1'	1	Actinomycetota
'LIB-MJ344-G6_04.1'	1	Actinomycetota
'LIB-MJ177-D8_03.31'	1	Actinomycetota
'LIB-MJ339-E8_03.14'	1	Actinomycetota
'LIB-MJ145-C6_01.5'	1	Actinomycetota
'LIB-MJ148-E10_02.7'	1	Actinomycetota
'LIB-MJ173-C8_01.6'	1	Actinomycetota
'LIB-MJ109-E5_01_v_LIB-MJ409-F1_01.2'	1	Actinomycetota
'LIB-MJ307-E5_01.19'	1	Actinomycetota
'LIB-MJ354-F9_04_v_LIB-MJ403-E5_03.5'	1	Actinomycetota
'LIB-MJ387-G9_01.6'	1	Campylobacterota
'LIB-MJ195-D11_01_v_LIB-MJ415-B8_04.29'	1	Actinomycetota
'LIB-MJ306-H11_01.3'	1	Actinomycetota
'LIB-MJ341-B4_02_v_LIB-MJ367-B4_04.2'	1	Actinomycetota
'LIB-MJ253-B4_01_v_LIB-MJ404-E6_03.33'	1	Actinomycetota
'LIB-MJ200-C7_04.5'	1	Actinomycetota
'LIB-MJ191-D11_04.11'	1	Actinomycetota
'LIB-MJ336-B12_02.3'	1	Actinomycetota
'LIB-MJ306-F5_01_v_LIB-MJ367-F5_03.24'	1	Actinomycetota
'LIB-MJ093-A12_02_v_LIB-MJ408-C11_04.1'	1	Actinomycetota
'LIB-MJ050-D6_02_v_LIB-MJ408-D10_04.12'	3	Actinomycetota
